bandwidth_max,bandwidth_min,bandwidth_mean,bandwidth_std,flux_max,flux_min,flux_mean,flux_std,zcr_max,zcr_min,zcr_mean,zcr_std,chroma_max,chroma_min,chroma_mean,chroma_std,mfcc_0_max,mfcc_0_min,mfcc_0_mean,mfcc_0_std,mfcc_1_max,mfcc_1_min,mfcc_1_mean,mfcc_1_std,mfcc_2_max,mfcc_2_min,mfcc_2_mean,mfcc_2_std,mfcc_3_max,mfcc_3_min,mfcc_3_mean,mfcc_3_std,mfcc_4_max,mfcc_4_min,mfcc_4_mean,mfcc_4_std,mfcc_5_max,mfcc_5_min,mfcc_5_mean,mfcc_5_std,mfcc_6_max,mfcc_6_min,mfcc_6_mean,mfcc_6_std,mfcc_7_max,mfcc_7_min,mfcc_7_mean,mfcc_7_std,mfcc_8_max,mfcc_8_min,mfcc_8_mean,mfcc_8_std,mfcc_9_max,mfcc_9_min,mfcc_9_mean,mfcc_9_std,mfcc_10_max,mfcc_10_min,mfcc_10_mean,mfcc_10_std,mfcc_11_max,mfcc_11_min,mfcc_11_mean,mfcc_11_std,mfcc_12_max,mfcc_12_min,mfcc_12_mean,mfcc_12_std,mfcc_13_max,mfcc_13_min,mfcc_13_mean,mfcc_13_std,mfcc_14_max,mfcc_14_min,mfcc_14_mean,mfcc_14_std,mfcc_15_max,mfcc_15_min,mfcc_15_mean,mfcc_15_std,mfcc_16_max,mfcc_16_min,mfcc_16_mean,mfcc_16_std,mfcc_17_max,mfcc_17_min,mfcc_17_mean,mfcc_17_std,mfcc_18_max,mfcc_18_min,mfcc_18_mean,mfcc_18_std,mfcc_19_max,mfcc_19_min,mfcc_19_mean,mfcc_19_std,mfcc_20_max,mfcc_20_min,mfcc_20_mean,mfcc_20_std,genre
3220.5902958531983,1306.7099664223902,2002.6571062203575,292.96645867352845,10.981944,0.0,1.3923483,1.4819182,0.24267578125,0.033203125,0.08306639113293343,0.02768996741355138,1.0,0.0018828771,0.34995052,0.297913,21.742056,-257.911,-113.619385,50.703182,164.75476,46.89046,121.55302,17.19664,28.366947,-70.900154,-19.151056,15.34861,71.43294,-1.2741485,42.345768,12.281505,30.379972,-49.184868,-6.3711677,12.962432,41.80767,-14.367302,18.613033,9.442965,14.780132,-38.83381,-13.69206,8.222213,43.63489,-10.577637,15.339378,8.310419,13.907671,-38.793354,-12.283617,9.063802,39.42435,-14.338535,10.973775,7.9624414,15.191149,-33.125565,-8.32241,7.8619676,31.243,-12.483559,8.8067875,7.1618433,22.482098,-26.569304,-3.665802,6.4227433,28.861855,-19.540184,5.745939,6.3687506,16.163164,-29.650528,-5.161711,7.058576,29.991364,-20.374256,0.7502979,7.2432137,19.03184,-20.197773,-1.688358,6.0468674,18.939028,-21.336136,-0.40932858,6.4531875,27.253826,-26.759907,-2.298869,7.421366,32.86634,-23.219631,1.2199471,6.8538775,19.209179,-20.962769,-3.5383887,6.161644,blues
3402.554397894613,1046.389224471495,2038.6121426557386,462.48229570774566,17.791128,0.0,1.4457797,2.0035162,0.32373046875,0.00634765625,0.056044256724071206,0.03805920843998772,1.0,0.0018079305,0.3409451,0.3081689,-25.956675,-448.55563,-207.58151,88.151985,192.77078,28.882288,123.99715,23.667763,59.997047,-78.69281,8.939115,23.931152,76.585815,-26.024189,35.870758,16.274376,42.422394,-42.474632,2.9199703,16.73462,50.965454,-26.499962,21.518787,12.508815,28.447266,-57.46592,-8.555368,14.176376,57.322296,-14.032225,23.355938,11.931994,21.89463,-52.369705,-10.101037,12.893105,40.40428,-29.546383,11.906445,10.215605,24.502064,-37.257187,-5.5581226,10.257861,37.24259,-25.34942,5.3759418,9.813216,19.230034,-27.189579,-2.2378328,8.0561075,29.378061,-20.447224,4.217125,8.554412,17.768435,-26.848995,-6.0110474,7.2446527,29.639198,-29.272682,0.93266803,7.4407187,24.525185,-23.340874,-0.7170279,7.7532763,21.542437,-18.384598,0.29233328,6.9381366,27.737759,-24.408875,-0.2857169,7.150609,27.74053,-17.131062,0.5321443,6.769286,17.467901,-32.3339,-4.090439,6.538787,blues
2662.739384749383,960.2119564611468,1747.3820283592033,275.95414252812714,14.719387,0.0,1.6393421,1.950413,0.44091796875,0.0126953125,0.07630074799245357,0.031737819011002394,1.0,0.0031683422,0.36356187,0.29202268,32.401398,-343.9348,-90.776344,57.61765,198.8385,-11.795292,140.44861,22.56351,46.547848,-85.00932,-29.10056,20.297462,91.40402,1.0605401,31.68734,12.006151,37.09912,-64.4411,-13.975973,12.490621,61.293636,-5.9715724,25.741682,8.629561,25.839512,-51.17915,-13.644712,10.328758,34.020233,-31.28577,11.623112,10.32607,29.949429,-34.6715,-11.77592,8.104654,31.050621,-33.708015,9.700465,8.236836,13.12067,-45.190304,-13.115349,7.592525,25.241776,-32.569252,5.7857633,8.037509,23.078028,-28.854303,-8.899733,7.776661,19.09743,-35.260567,-1.0870236,7.598978,13.090475,-26.859531,-9.216774,6.038823,23.645119,-16.723423,2.4536486,6.3733974,15.935514,-29.231827,-7.721793,6.9065385,26.848488,-26.76869,-1.8164973,7.24004,20.980637,-20.417923,-3.4343534,6.828621,16.524359,-29.785425,-2.2313912,5.5340967,23.665482,-23.899199,-4.049148,6.5998406,blues
3174.579277692678,671.0980124296594,1596.24420438572,408.21265100212,14.619913,0.0,1.2485352,1.7503386,0.14501953125,0.00634765625,0.03330894446594427,0.02056877198727728,1.0,0.0057375757,0.40484837,0.3066235,-14.066174,-363.9536,-199.462,74.13483,235.07391,62.80179,150.09473,21.36742,43.561993,-63.067093,5.649167,16.032692,63.4926,-27.263672,26.870144,12.57767,37.437782,-49.73822,1.7554406,16.367716,56.01583,-24.05845,14.23688,11.264206,21.04934,-45.373245,-4.8288727,12.492485,30.783287,-18.335241,9.297849,9.009487,25.273716,-29.548193,-0.753142,9.610511,32.761795,-29.347542,8.147393,8.439375,25.346262,-45.59827,-3.1952357,10.503592,40.363243,-14.122023,6.085354,6.941436,20.651333,-32.89056,-2.4761884,7.537466,24.903652,-30.884306,-1.0762246,7.8901334,39.706036,-25.17946,-2.8760564,7.1865416,29.199549,-19.577648,0.7769089,6.667608,18.006485,-29.38768,-3.3200555,7.0878043,19.883474,-19.40181,0.6372628,6.111622,16.605656,-22.656792,-0.6175069,6.1066494,16.595015,-21.426252,-3.40694,5.6558323,29.324226,-18.845253,-1.5005991,5.8990703,blues
2770.6955091961213,1081.6565370789604,1748.3674768917706,297.42236168117654,12.954987,0.0,1.6463543,1.964184,0.3662109375,0.03955078125,0.1015001421004257,0.044198516021300496,1.0,0.0013471682,0.30859816,0.29639572,-6.147505,-356.30292,-160.29185,72.09816,188.28465,-11.409155,126.19576,29.218794,21.923256,-84.61236,-35.6025,18.267778,86.17343,-13.978872,22.151169,13.916656,18.551874,-96.11963,-32.48764,18.342604,46.329147,-21.327457,10.862022,11.6102,0.2743504,-65.48233,-23.357162,9.659235,33.730682,-27.954872,0.50052303,11.169667,24.094097,-44.25859,-11.80477,11.401259,30.68414,-24.465715,1.2038776,9.989755,24.97996,-41.409294,-13.085074,8.961199,31.72102,-30.323242,-2.8098488,9.300109,24.070385,-36.607315,-6.935621,9.46644,29.950184,-32.436897,-7.5592937,8.422141,14.063105,-42.454704,-9.172152,8.704552,25.079535,-31.264341,-4.5104084,9.274307,20.527815,-36.84057,-5.4537363,8.679181,24.539059,-20.62901,-0.92446774,7.3196692,27.829796,-28.028412,-4.408076,7.9327497,4.8898535,-41.73053,-11.701833,7.430688,20.845287,-34.022064,-5.8597007,8.214063,blues
2827.7333528580843,940.5930169544446,1729.4562590216863,449.44388777606434,15.215706,0.0,1.518878,2.252575,0.48193359375,0.01611328125,0.09403986975135449,0.07897575479333778,1.0,0.0017071199,0.30241403,0.29590878,13.480693,-451.74277,-177.88876,85.460556,194.46027,-85.43895,118.18953,56.54741,65.34683,-77.22774,-17.55073,25.576311,104.37159,-26.672855,30.753101,22.045116,45.790398,-85.97183,-21.732107,20.820208,59.90927,-23.78703,11.898545,16.31228,12.486641,-69.42012,-20.73228,13.032559,43.949005,-23.334753,3.176169,11.562216,27.5644,-50.194057,-8.575771,13.12751,36.07003,-23.615067,-0.9401843,10.00648,8.917009,-52.496094,-11.7738,8.751918,34.333176,-36.482567,-2.4260757,8.860253,21.219852,-32.542824,-9.342486,8.951683,17.343128,-35.511623,-9.947082,6.895875,24.39667,-36.269657,-3.9053469,7.74928,29.021053,-26.749264,-5.568541,8.519501,15.486292,-31.053768,-1.8399693,8.289742,21.61422,-26.884117,-2.7841752,6.516645,22.910898,-19.989063,-3.046112,6.311036,11.067331,-31.045582,-8.115228,6.803858,17.77981,-34.212677,-2.4678442,7.586317,blues
2682.5104348649115,763.8966896421347,1388.7255154666868,430.26969817275943,16.464622,0.0,1.6391699,2.3836448,0.37548828125,0.01708984375,0.07302790308146284,0.0436989109483751,1.0,0.00019854082,0.29140562,0.3065986,29.45856,-443.44998,-190.17505,98.21622,201.39595,-15.379965,130.29242,43.98217,54.204693,-117.80623,-36.348473,36.161358,109.06424,-18.004536,33.02909,21.916225,58.099785,-105.150894,11.085681,32.917904,51.08857,-35.61358,-0.5963725,16.739882,19.577423,-64.356926,-20.882357,12.31618,30.489765,-31.436108,0.27711597,10.143775,22.762743,-50.76274,-6.5008707,11.45195,33.89797,-54.016613,-5.515623,12.389086,24.801151,-46.061142,-7.8452888,9.358328,31.054306,-33.639618,-3.1235993,8.014027,31.35249,-42.875397,-6.595716,8.897414,9.544722,-40.607487,-9.947578,7.9419365,30.200615,-30.069777,-6.540925,9.296062,21.990429,-30.277565,-10.071381,9.128132,16.233974,-37.7063,-10.912119,7.5457077,14.592642,-30.852457,-6.970003,6.186081,17.841269,-30.411781,-3.4485128,6.9349537,20.781076,-34.70896,-6.498458,8.36777,48.73899,-28.900478,-7.1202984,8.899828,blues
2744.393862574764,794.0731903292003,1577.5518581340941,410.19294988425395,14.933286,0.0,1.5441257,1.943684,0.2939453125,0.0107421875,0.06143500266060371,0.043011742599829005,1.0,0.0020173898,0.3073145,0.30471155,42.68991,-413.14587,-179.42007,81.08917,211.60522,-17.30569,136.4421,38.470413,51.445957,-89.76281,-26.644339,24.310024,106.606674,-9.581615,39.97959,18.792528,53.794186,-73.21765,5.3018136,25.503872,55.310616,-24.930634,10.921237,11.677463,25.389944,-61.225883,-20.555347,12.794587,51.44053,-25.645088,8.507477,12.307668,24.607113,-58.079674,-11.35436,13.115827,32.66903,-38.981155,-3.4690983,13.357224,22.533068,-58.92198,-8.414114,12.151825,29.057304,-37.710724,-6.956977,9.153007,19.058315,-42.726135,-3.5483484,9.660816,10.948896,-38.84442,-8.051683,7.580675,21.858541,-34.604095,-8.960484,9.071809,27.791986,-32.55424,-8.421077,8.395058,13.382273,-35.9047,-10.5585985,7.213344,18.922096,-36.1243,-10.790192,7.7794085,25.00378,-26.053074,-4.7007947,8.0987625,14.900196,-29.237385,-8.638816,7.505687,14.572555,-33.427628,-11.0275755,7.4596105,blues
2798.1281984826282,1335.7280826577703,2031.6873439517926,324.981852227533,9.737999,0.0,1.4520382,1.5701604,0.24462890625,0.0087890625,0.06402757957623839,0.02705344827055859,1.0,0.0032644796,0.40899816,0.29414225,0.9222487,-259.08032,-121.387115,51.20196,171.03479,26.793001,122.505394,20.3649,33.044422,-92.740585,-14.739394,18.476788,99.331635,9.692524,46.135292,13.921793,23.632807,-67.28345,-8.160384,13.293728,51.182304,-16.048826,20.17051,10.343644,22.236088,-40.497917,-19.169321,7.594192,49.54035,-6.9890485,23.050188,8.770052,16.369741,-33.76311,-11.825939,6.5177164,45.39997,-4.131048,21.173412,7.644031,20.491846,-33.85614,-6.7202907,6.9971523,29.024075,-24.014366,7.0050187,7.4997573,17.103062,-35.5308,-12.739909,7.86743,29.144226,-20.470875,5.064209,7.109595,10.260599,-23.92354,-5.173075,5.7297416,18.424936,-22.089748,-1.4469953,7.110611,13.319776,-27.88217,-7.036928,5.3751597,19.149498,-19.926975,2.6948745,6.077127,22.62948,-14.567256,3.4093323,5.807247,15.959238,-23.286772,-2.6991909,6.008099,11.967924,-20.47297,-4.270567,4.772871,blues
2720.010831462377,1255.128978558213,1973.6903092643117,337.94835965409806,10.543845,0.0,1.2488515,1.1855046,0.42041015625,0.02783203125,0.0792153184258901,0.03710199195397739,1.0,0.0012147063,0.27401426,0.30385286,-53.860245,-371.29147,-213.20453,78.31431,175.15985,-42.237373,115.15454,28.262222,36.295937,-75.82668,-11.720503,25.864157,118.554214,0.21052845,39.032555,18.730318,22.287642,-101.92168,-20.357819,23.071657,62.47982,-34.70283,13.089926,16.684895,16.078611,-57.527977,-9.180815,11.249238,34.858032,-13.462526,9.023639,8.2433195,19.085533,-42.855858,-14.101023,10.496001,37.94806,-25.417793,4.283337,9.617187,20.430653,-39.175377,-6.0441957,9.212237,31.427372,-23.944605,3.786368,10.222246,28.279877,-22.359705,0.22368743,8.740899,20.809803,-35.912666,-5.114481,9.242065,35.979485,-25.678398,-0.4145369,10.200085,23.784899,-25.623043,-1.1848985,7.702675,28.971115,-25.799995,-1.9183391,7.647867,28.151398,-24.188139,-2.2957964,9.120193,38.690697,-23.226692,2.89123,8.777185,27.322323,-38.05314,-4.234533,9.566596,43.160816,-24.008465,1.5900459,11.7195635,blues
